id,category,en,zh,note_zh,note_en
11,3000字,again,"再,再一次","
<span class='g b'>Define <span class='k'>again</span> :</span><span class='p'> [ə'ɡen]</span><br><div id=""e"">adv.再；又</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. Try <em><em>again</em></em>.<br>再试试。<br><i>2</i>. Say that <em><em>again</em></em>, please.<br>请再说一遍。<br><i>3</i>. I am longing to see my friend Jack <em><em>again</em></em>.<br>我渴望再见到我的朋友杰克。<br><i>4</i>. I am sorry-she's out. Can you ring <em><em>again</em></em> later?<br>对不起－她出去了。你过些时候再打电话来好吗？<br></div><br><div align=""center""><a href=""https://dict.cn/again"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
12,3000字,age,年齡[C][U],"
<span class='g b'>Define <span class='k'>age</span> :</span><span class='p'> [eɪdʒ]</span><br><div id=""e"">n.年龄；时代；时期；长时间<br>v.（使）变老；（使）陈化</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. What is your <em><em>age</em></em>?<br>你多大年纪？<br><i>2</i>. The child is at an impressionable <em><em>age</em></em>.<br>这孩子正处于易受影响的年龄。<br><i>3</i>. We are living in the <em><em>age</em></em> of technology.<br>我们生活在工业技术时代。<br><i>4</i>. Rome was in its prime in the <em><em>age</em></em> of Augustus.<br>罗马帝国的全盛期是在奥古斯都时代。<br><i>5</i>. Anxiety <em><em>age</em></em>s us.<br>忧虑催人老。<br></div><br><div class=""t"">词形变化:</div><div id=""t"">名词: <i>ager</i> 过去式: <i>aged</i> 过去分词: <i>aged</i> 现在分词: <i>aging</i> 第三人称单数: <i>ages</i> </div></div><br><div align=""center""><a href=""https://dict.cn/age"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
13,3000字,ago,在…以前,"
<span class='g b'>Define <span class='k'>ago</span> :</span><span class='p'> [ə'ɡoʊ]</span><br><div id=""e"">adv.以前</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. The dinosaurs disappeared long <em><em>ago</em></em>.<br>恐龙很久以前就绝种了。<br><i>2</i>. A hundred years <em><em>ago</em></em>, Britain had a large empire.<br>一百年以前，英国有一个很大的帝国。<br></div><br><div align=""center""><a href=""https://dict.cn/ago"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
14,3000字,agree,意見一致、同意[(+with/about/on)][W],"
<span class='g b'>Define <span class='k'>agree</span> :</span><span class='p'> [ə'ɡriː]</span><br><div id=""e"">v.同意；赞成；承认；符合；一致</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. We <em><em>agree</em></em>d to leave at once.<br>我们同意立即离开。<br><i>2</i>. I, for my part, totally <em><em>agree</em></em> with you.<br>至於我,我完全同意你的看法。<br><i>3</i>. I didn't <em><em>agree</em></em> from the very beginning.<br>我从一开始就不赞成。<br><i>4</i>. We must <em><em>agree</em></em> to differ on this.<br>我们得承认在这一问题上有分歧。<br></div><br><div class=""t"">词形变化:</div><div id=""t"">过去式: <i>agreed</i> 过去分词: <i>agreed</i> 现在分词: <i>agreeing</i> 第三人称单数: <i>agrees</i> </div></div><br><div align=""center""><a href=""https://dict.cn/agree"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
15,3000字,air,空氣;大氣[U],n.空气；天空；空中；感觉；神态；曲调；装腔作势<br>v.晾干；使通风；广播<br><br><i>1</i>. The fresh <em><em>air</em></em> in the morning made him feel glad.<br>早晨的新鲜空气使他觉得愉快。<br><i>2</i>. There is a bird flying through the <em><em>air</em></em>.<br>一只小鸟从天空飞过。<br><i>3</i>. The archers sent their shafts through the <em><em>air</em></em>.<br>弓箭手向空中射出利箭。<br><i>4</i>. There was an <em><em>air</em></em> of excitement at the meeting.<br>开会时气氛显得有些兴奋。<br><i>5</i>. You should <em><em>air</em></em> the clothes to get the damp out.<br>你应该把衣服晾一下去去潮气。<br>,
16,3000字,airplane,(plane)【美】飛機[C],"
<span class='g b'>Define <span class='k'>airplane</span> :</span><span class='p'> ['erpleɪn]</span><br><div id=""e"">n.飞机<br>=aeroplane(英）.</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. The boom of the <em><em>airplane</em></em> was damaged.<br>飞机的尾桁受到损害。<br><i>2</i>. An <em><em>airplane</em></em> engine is a complex mechanism.<br>飞机引擎是种复杂的机械装置。<br></div><br><div align=""center""><a href=""https://dict.cn/airplane"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
17,3000字,airport,機場;航空站[C],n.机场；航空站<br><br><i>1</i>. The plane circled the <em><em>airport</em></em> before landing.<br>飞机在着陆之前在机场上空盘旋。<br><i>2</i>. There was a great outcry about the construction of the new <em><em>airport</em></em>.<br>公众强烈反对修建该机场。<br><i>3</i>. You must arrive at the <em><em>airport</em></em> two hours early.<br>你必须提前两小时到达机场。<br>,
18,3000字,all,"一切的,所有的",adj.所有的；全部的<br>adv.完全；都；非常<br>pron.一切；全部<br>n.全部<br><br><i>1</i>. All wood tends to shrink.<br>所有木头都会缩一些.<br><i>2</i>. All my plants have died.<br>我的花草全死光了。<br><i>3</i>. He spent <em><em>all</em></em> his time reading.<br>他把全部时间都花在阅读上。<br><i>4</i>. His temperature seems to be <em><em>all</em></em> right.<br>他的体温好像完全正常。<br><i>5</i>. We are grateful to you for <em><em>all</em></em> you have done.<br>我们对你所做的一切表示感谢。<br>,
19,3000字,almost,"幾乎,差不多","adv.几乎；差不多<br>adj.相近的<br><br><i>1</i>. He slipped and <em><em>almost</em></em> fell.<br>他脚下一滑，险些跌倒。<br><i>2</i>. She was <em><em>almost</em></em> mad with grief when her son died.<br>她的儿子死去时，她悲伤得几乎疯了。<br><i>3</i>. This event was <em><em>almost</em></em> simultaneous with that one.<br>这件事几乎是与那件事同时发生的。<br><i>4</i>. It's <em><em>almost</em></em> time to go.<br>差不多是该走的时候了。<br><i>5</i>. The girl was annoyed by his <em><em>almost</em></em> impudence.<br>他几近厚颜无耻的态度把那个女孩给惹恼了。<br>",
20,3000字,along,沿著;順著,"
<span class='g b'>Define <span class='k'>along</span> :</span><span class='p'> [ə'lɔːŋ]</span><br><div id=""e"">prep.沿着；顺着<br>adv.向前；一起</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. We walked <em><em>along</em></em> the road.<br>我们沿着路走。<br><i>2</i>. The procession passed <em><em>along</em></em> the street.<br>游行队伍沿着街道前进。<br><i>3</i>. You can go straight <em><em>along</em></em> this street to the traffic light.<br>你可以顺着这条街一直走到红绿灯处。<br><i>4</i>. He walked <em><em>along</em></em> the mountain ridge.<br>他顺着山脊走。<br><i>5</i>. A small boat was drifting <em><em>along</em></em>.<br>一条小船正向前漂流着。<br></div><br><div align=""center""><a href=""https://dict.cn/along"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
21,3000字,already,adv.已經；先前,"adv.已经<br><br><i>1</i>. I've <em><em>already</em></em> paid my membership dues.<br>我已经交了我的会员费。<br><i>2</i>. The new rules have <em><em>already</em></em> come into play.<br>新规则已经开始生效。<br><i>3</i>. You had <em><em>already</em></em> gone when I arrived there.<br>当我到达时，你已经走了。<br><i>4</i>. I've been there <em><em>already</em></em> and don't want to go again.<br>我曾到过那，不想再去了。<br>",
22,3000字,also,"也,亦;還","
<span class='g b'>Define <span class='k'>also</span> :</span><span class='p'> ['ɔːlsoʊ]</span><br><div id=""e"">adv.也；而且；同样地</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. We should <em><em>also</em></em> take account of difficulties.<br>我们也应该考虑到困难。<br><i>2</i>. London was <em><em>also</em></em> called the modern Babylon.<br>伦敦也被称为现代巴比伦。<br><i>3</i>. This book is not only interesting but <em><em>also</em></em> good.<br>这本书不仅有趣,而且内容也非常好。<br><i>4</i>. Tom has been to Japan, I have <em><em>also</em></em> been there.<br>汤姆曾去过日本，我也曾去过。<br></div><br><div align=""center""><a href=""https://dict.cn/also"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
23,3000字,always,"總是,經常","
<span class='g b'>Define <span class='k'>always</span> :</span><span class='p'> ['ɔːlweɪz]</span><br><div id=""e"">adv.总是；一直；始终；永远；随时；无论如何</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. I'm <em><em>always</em></em> at home in the evenings.<br>晚上我总是在家里。<br><i>2</i>. A live band is <em><em>always</em></em> a good draw at a party.<br>现场演奏的乐队在聚会上总是很吸引人的。<br><i>3</i>. We should <em><em>always</em></em> help each other.<br>我们应始终互相帮助。<br><i>4</i>. They will <em><em>always</em></em> be friends.<br>他们将永远是朋友。<br></div><br><div align=""center""><a href=""https://dict.cn/always"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
24,3000字,a.m.,=ante meridiem(=before noon) 上午,,
25,3000字,America,美國,,
26,3000字,American,美國的;美洲的,,
27,3000字,and,"和,及,與,同;又",,
28,3000字,angry,adj.生氣的,"adj.生气的；愤怒的；（伤口等）肿痛的，发炎的；（天空或海洋）天昏地暗的，狂风暴雨的<br><br><i>1</i>. His imperious look makes us <em><em>angry</em></em>.<br>他那飞扬跋扈的样子令我们生气。<br><i>2</i>. Don't be <em><em>angry</em></em> over such trivial matters.<br>别为这些琐事生气。<br><i>3</i>. He shouts when he gets <em><em>angry</em></em>, as is often the case.<br>他生气时就大叫，这是常有的情形。<br><i>4</i>. There was an <em><em>angry</em></em> squall from the bedroom.<br>卧室里传出一声愤怒的喊叫。<br>",
29,3000字,animal,動物,"
<span class='g b'>Define <span class='k'>animal</span> :</span><span class='p'> ['ænɪml]</span><br><div id=""e"">n.动物；牲畜<br>adj.动物的；野兽的</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. The jackal is a wild <em><em>animal</em></em> in Africa and Asia.<br>豺狼是产于亚非的一种野生动物。<br><i>2</i>. This small <em><em>animal</em></em> has a pair of brown eyes.<br>这只小动物有一双棕色的眼睛。<br><i>3</i>. A pig is a domestic <em><em>animal</em></em>.<br>猪是一种家畜。<br><i>4</i>. The <em><em>animal</em></em> is dangerous when cornered.<br>野兽一旦陷于绝境就会变得很危险。<br><i>5</i>. Try to cut down on the amount of <em><em>animal</em></em> fats you eat.<br>尽量减少你食用的动物脂肪的量。<br></div><br><div align=""center""><a href=""https://dict.cn/animal"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
30,3000字,another,"又一,再一","
<span class='g b'>Define <span class='k'>another</span> :</span><span class='p'> [ə'nʌðər]</span><br><div id=""e"">adj.另一的；再一个的<br>pron.另一个；类似的一个；别的</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. It is just as well that you took <em><em>another</em></em> road.<br>还好你们走了另一条路。<br><i>2</i>. She has been transferred to <em><em>another</em></em> department.<br>她已被调往另一个部门。<br><i>3</i>. Will you like <em><em>another</em></em> cup of tea?<br>你要再来一杯茶吗？<br><i>4</i>. The agreement has been renewed for <em><em>another</em></em> year.<br>该协定的期限已经再延长一年。<br><i>5</i>. I don't like this one. Please show me <em><em>another</em></em><br>我不喜欢这个，请给我另一个。<br></div><br><div align=""center""><a href=""https://dict.cn/another"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
31,3000字,answer,n./v.答案,"v.回答；答复；接电话<br>n.答案；回答；答复<br><br><i>1</i>. The question is simple enough to <em><em>answer</em></em>.<br>这个问题很简单,容易回答。<br><i>2</i>. she fell into a rage and refused to <em><em>answer</em></em>.<br>他勃然大怒,拒不回答。<br><i>3</i>. He <em><em>answer</em></em>ed that he knew nothing about it.<br>他答复说关于此事他一无所知。<br><i>4</i>. He has a large amount of mail to <em><em>answer</em></em> every day.<br>他每天有大量的信件要回复。<br><i>5</i>. Do you know the <em><em>answer</em></em> to this question?<br>你知道这道题的答案吗？<br>",
32,3000字,any,adj./adv./pron.任何的；若干,"adj.任何的<br>adv.稍微；丝毫<br>pron.任何<br><br><i>1</i>. I can't stay <em><em>any</em></em> longer.<br>我一刻也不能再呆下去了。<br><i>2</i>. I can't see things getting <em><em>any</em></em> better<br>我看不出事情有丝毫好转<br>",
33,3000字,anyone,"(anybody)(用於疑問句或if子句時)誰,任何人",,
34,3000字,anything,"(用於疑問句或if子句時)什麼東西,什麼事情",,
35,3000字,apartment,【美】(一戶)公寓房間,,
36,3000字,appear,v.出現；顯露,vi.出现；出版；显得；好像；登场<br><br><i>1</i>. A ship <em><em>appear</em></em>ed on the horizon.<br>船出现在水平线上。<br><i>2</i>. His book <em><em>appear</em></em>s on the market.<br>他的书出版了。<br><i>3</i>. An article about him <em><em>appear</em></em>ed in the paper.<br>一篇有关他的文章在报上发表。<br><i>4</i>. She <em><em>appear</em></em>ed very confident.<br>她显得很自信。<br>,
37,3000字,apple,蘋果[C],"
<span class='g b'>Define <span class='k'>apple</span> :</span><span class='p'> ['æpl]</span><br><div id=""e"">n.苹果；珍宝；家伙</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. My uncle has an <em><em>apple</em></em> orchard.<br>我叔叔拥有一个苹果园。<br><i>2</i>. The <em><em>apple</em></em> trees are blossoming.<br>苹果树正在开花。<br><i>3</i>. He regard his new bike as the <em><em>apple</em></em> of his eye.<br>他把他的新自行车视为珍宝。<br><i>4</i>. He's a rotten <em><em>apple</em></em>.<br>他是一个讨厌的家伙。<br></div><br><div align=""center""><a href=""https://dict.cn/apple"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
38,3000字,April,四月,,
39,3000字,arm,n.手臂,"n.臂；扶手；袖子<br>n.武器；军种<br>vt.武装；装备<br>（复）arms: 军事行动；纹章；兵役.<br><br><i>1</i>. You should wind a cloth round the wounded <em><em>arm</em></em>.<br>你应该把一块布缠在受伤的和臂上。<br><i>2</i>. The archer holds the bow in his bow <em><em>arm</em></em>.<br>运动员用执弓臂握住弓。<br><i>3</i>. His left <em><em>arm</em></em> was hurt in an accident.<br>他的左胳膊在一次事故中受伤了。<br><i>4</i>. He draped his legs over the <em><em>arm</em></em> of the chair.<br>他懒洋洋地把双腿搭在椅子的扶手上。<br><i>5</i>. They were not allowed to use <em><em>arm</em></em>s.<br>不许他们使用武器。<br><i>6</i>. We must <em><em>arm</em></em> ourselves against the enemy.<br>我们必须武装自己,防范敌人。<br>",
40,3000字,around,prep./adv.各處；大約,"prep.到处；在 ... 附近；围绕；大约；符合<br>adv.到处；在周围；现有；闲散地；转弯；掉头<br>adj.存在的；在风行的<br><br><i>1</i>. He runs <em><em>around</em></em> the playground.<br>他在运动场上到处跑。<br><i>2</i>. I saw him <em><em>around</em></em> the place this morning.<br>今天早上我看见他就在那儿附近。<br><i>3</i>. The earth moves <em><em>around</em></em> the sun.<br>地球围绕太阳运动。<br><i>4</i>. There're <em><em>around</em></em> 1000 employees in this company.<br>这个公司大约有1000名员工。<br><i>5</i>. We have travelled <em><em>around</em></em> in Europe for six weeks.<br>我们在欧洲各地旅行了六个星期。<br><i>6</i>. He is the most intelligent artist <em><em>around</em></em> today.<br>他是如今在世的最有才华的艺术家。<br>",
41,3000字,arrive,到達;到來,,
42,3000字,art,n.藝術；藝術品,n.艺术；美术；技巧；艺术品；人文学科；阴谋<br>adj.艺术(品)的；美术(品)的<br><br><i>1</i>. She displayed great ardor for <em><em>art</em></em>.<br>她对艺术表现出极大的热心。<br><i>2</i>. She joined the university <em><em>art</em></em> society.<br>她加入了大学里的艺术协会。<br><i>3</i>. She has an appreciation of <em><em>art</em></em> and music.<br>她对于美术和音乐有了解。<br><i>4</i>. The <em><em>art</em></em> of painting is not easy to learn.<br>画画的技巧是不容易学的。<br><i>5</i>. She teaches <em><em>art</em></em> history in university.<br>她在大学里教艺术史。<br>,
43,3000字,as,prep./adv./conj如同；當…時；雖然,"adv.同样地；例如；被认为<br>prep.作为；如同<br>conj.因为；像；当 ... 之时；像 ... 一样；结果；尽管<br>n.阿斯（古罗马重量单位，约373克；古罗马铜币名）<br><br><i>1</i>. The ground w<em><em>as</em></em> <em><em>as</em></em> white <em><em>as</em></em> snow with petals that had drifted down from the apple trees.<br>满地是苹果树上飘落下来的花瓣，地上一片雪白。<br><i>2</i>. Many things pollute water, such <em><em>as</em></em> tires, tr<em><em>as</em></em>h, and pl<em><em>as</em></em>tic bags.<br>很多东西使水污染，例如轮胎、垃圾和塑胶袋。<br><i>3</i>. This cathedral w<em><em>as</em></em> regarded <em><em>as</em></em> a miracle in architectural history.<br>这座大教堂被认为是建筑史上的奇迹。<br><i>4</i>. As a cub reporter he would learn the facts of life in the newspaper world.<br>作为一名初出茅庐的记者，他要了解报界生涯的内幕。<br><i>5</i>. As the wage of the job w<em><em>as</em></em> low, there were few applicants for it.<br>因为工资低,没有什么人申请这份工作。<br>",
44,3000字,ask,v.詢問；要求,"v.询问；请求；邀请；要求；开价；期待<br><br><i>1</i>. May I <em><em>ask</em></em> a question?<br>我可以问一个问题吗？<br><i>2</i>. I'm calling to <em><em>ask</em></em> you about the delivery.<br>我打电话给你,是询问发货的事。<br><i>3</i>. He'll lend you the money if you <em><em>ask</em></em> him.<br>如果你请求他的话，他就会把钱借给你。<br><i>4</i>. It was such a big job that he had to <em><em>ask</em></em> for help .<br>这项工作量太大，他得请求帮助。<br>",
45,3000字,at,在…地點,,
46,3000字,August,八月,,
47,3000字,aunt,伯母;嬸母;姑母;姨母;舅母,,
48,3000字,autumn,"(fall)秋季,秋天[C][U]",,
49,3000字,away,離開[(+from)],,
50,3000字,baby,嬰兒,"n.婴儿；宝贝儿；孩子气的人<br>adj.婴儿的；小型的<br>vt.溺爱<br><br><i>1</i>. She gave birth to a fine healthy <em><em>baby</em></em>.<br>她生了一个健康漂亮的婴儿。<br><i>2</i>. The mother rocked the <em><em>baby</em></em> to sleep in its cradle.<br>母亲摇动摇篮使婴儿入睡。<br><i>3</i>. We've turned the smallest bedroom into a nursery for our new <em><em>baby</em></em>.<br>我们已将最小的那间卧室改成新生婴儿的幼儿室。<br><i>4</i>. Baby, come on, let's go home, I'm tired.<br>宝贝儿，快点儿，我们回家吧，我累了。<br><i>5</i>. Since 2001, organic <em><em>baby</em></em> food sales have jumped 63%.<br>从2001年以来,有机婴儿食品销售额已上升63%25。<br><i>6</i>. Don't <em><em>baby</em></em> the boy.<br>别惯这孩子。<br>",
51,3000字,back,"背脊,背部[C]",,
52,3000字,bad,"壞的,不好的;拙劣的;令人不悅的",,
53,3000字,bag,袋;提袋[C],,
54,3000字,bakery,麵包(糕點)烘房;麵包(糕點)店[C],,
55,3000字,ball,球;球狀體,,
56,3000字,banana,香蕉,,
57,3000字,band,"帶,細繩;箍",,
58,3000字,bank,銀行,"n.银行；岸；筹码；库；田埂；堤；积云；一系列；一组；一排；一团；用于循环再利用的废旧物品回收站<br>v.把钱存入银行；开户；筑堤防护；堆积<br><br><i>1</i>. He has a large deposit in the <em><em>bank</em></em>.<br>他在银行有大笔存款。<br><i>2</i>. The town stands on the left <em><em>bank</em></em> of the river.<br>城镇位于河的左岸。<br><i>3</i>. They walked along the fields <em><em>bank</em></em>，chatting happily.<br>他们沿着田埂,开心地边走边聊。<br><i>4</i>. The <em><em>bank</em></em> burst and totally collapsed.<br>整个堤坝全体溃决。<br><i>5</i>. They like to <em><em>bank</em></em> with the Royal Bank.<br>他们喜欢把钱存在皇家银行。<br>",
59,3000字,baseball,棒球運動[U],,
60,3000字,basket,"籃,簍,筐",,
61,3000字,basketball,籃球運動[U],,
62,3000字,bath,"浴缸,澡盆",,
63,3000字,bathroom,浴室,,
64,3000字,be,"(am, are, is, was, were, been)(與動詞的現在分詞連用,構成各種進行時態)正在…,在…",,
